Question,Global Subject,Question Intent,aiml_main_prediction,aiml_sub_prediction,bert_main_prediction,bert_sub_prediction
Hey!,START,START,OFF_TOPIC,OFF_TOPIC,START,START
Greetings!,START,START,OFF_TOPIC,OFF_TOPIC,START,START
How’s it going?,START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hey, chatbot!",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
Hey buddy!,START,START,OFF_TOPIC,OFF_TOPIC,START,START
"Hey, I'm here to begin our conversation.",START,START,OFF_TOPIC,OFF_TOPIC,START,START
"Greetings, what can you do for me today?",START,START,OFF_TOPIC,OFF_TOPIC,START,START
"Hey, I’m curious about your functions.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Greetings, let’s start our discussion.",START,START,OFF_TOPIC,OFF_TOPIC,START,START
"Hey, can you introduce yourself?",START,START,OFF_TOPIC,OFF_TOPIC,START,START
"Hey, can we dive into how you operate?",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Greetings, I’m ready to ask some questions.",START,START,OFF_TOPIC,OFF_TOPIC,START,START
"Hey, what can you tell me about your design?",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Greetings, I’m here to understand how you work.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hey, can you show me what you can do?",START,START,OFF_TOPIC,OFF_TOPIC,START,START
"Greetings, I’m eager to learn from you.",START,START,OFF_TOPIC,OFF_TOPIC,START,START
"Hey, what are you programmed for?",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Greetings, I’m here to explore your operations.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hey, I’m excited to see how you respond.",START,START,OFF_TOPIC,OFF_TOPIC,START,START
Could you provide a detailed explanation of the automaton?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
What is the layout of the states in this automaton?,AUTOMATON,DESCRIPTION,STATE,DETAILS,AUTOMATON,DESCRIPTION
Can you offer a breakdown of the automaton’s components?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
Please outline the states and how they interconnect.,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,STATE,COUNT
Could you show me how each state relates to the others?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
Would you mind describing the automaton’s configuration and links?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
What is the topology of the automaton’s states?,AUTOMATON,DESCRIPTION,STATE,DETAILS,AUTOMATON,DESCRIPTION
Can you share an overview of the automaton’s design?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
Provide a summary of the automaton’s states and transitions.,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION_BRIEF
Could you clarify how the automaton is organized?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
Explain how the states in this automaton transition from one to another.,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,TRANSITION,LIST
Can you illustrate how this automaton is structured?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
What does the automaton look like in terms of its state connections?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
Could you detail the flow between the automaton’s states?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
What are the defining features of the automaton and its links?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
Could you walk me through the automaton step by step?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
How do the automaton’s states interact with one another?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
Could you explain the automaton’s transitions in more detail?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,TRANSITION,DESCRIPTION
Would you give an outline of each state and how it connects to others?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
Can you clarify the structure and progression of states within this automaton?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
I’d like to hear an explanation of how this automaton’s states are formed and related.,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
How would you summarize the structure of this automaton?,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
Could you give a quick rundown of the automaton?,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
Please provide a short overview of the automaton.,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
Could you summarize the automaton for me?,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION_BRIEF
Could you give me a brief summary of the automaton?,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION_BRIEF
Please outline the main points of the automaton.,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
What’s the concise version of the automaton’s design?,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
Could you highlight the key aspects of the automaton?,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
Give me a short explanation of the automaton.,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION_BRIEF
Offer a quick snapshot of the automaton’s setup.,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION_BRIEF
Is the automaton directed or undirected?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DIRECTIONALITY
Can you confirm if the automaton operates as a directed system?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DIRECTIONALITY
Does the automaton follow a directed structure?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DIRECTIONALITY
Is this automaton designed as a directed model?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DIRECTIONALITY
Could you tell me whether the automaton is directed?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DIRECTIONALITY
Is the automaton structured as a directed graph?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DIRECTIONALITY
Can you clarify if the automaton has directed transitions?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DIRECTIONALITY
Would you say that the automaton is directed?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DIRECTIONALITY
Is the underlying model of the automaton directed?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
Can you verify if the automaton is set up with directed links?,AUTOMATON,DIRECTIONALITY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DIRECTIONALITY
"Could you list all the elements of the finite state automaton, including its nodes and edges?",AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
"Please provide a complete list of the finite state automaton’s components, such as states and transitions.",AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
Can you display the full inventory of nodes and arcs in the finite state automaton?,AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
"Would you list every element of the finite state automaton, including both nodes and connections?",AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
Please show me a comprehensive list of all nodes and edges present in the finite state automaton.,AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
"Can you enumerate all the components of the finite state automaton, including its states and transitions?",AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
Could you detail a list of every node and arc that comprises the finite state automaton?,AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
Provide a complete list of all the elements—nodes and edges—that make up the finite state automaton.,AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
Can you generate an inventory of the finite state automaton’s states and its connecting arcs?,AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
"Would you display a full list of all components, including nodes and transitions, in the finite state automaton?",AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,AUTOMATON,LIST
Are there consistent patterns within the transitions?,AUTOMATON,PATTERN,OFF_TOPIC,OFF_TOPIC,AUTOMATON,PATTERN
How can the automaton be visually depicted?,AUTOMATON,REPRESENTATION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
What graphical form do the arcs take?,AUTOMATON,REPRESENTATION,OFF_TOPIC,OFF_TOPIC,TRANSITION,LIST
Could you show me a diagram of the automaton?,AUTOMATON,REPRESENTATION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
How does the automaton appear in a visual format?,AUTOMATON,REPRESENTATION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
What is the ideal spatial layout for representing this automaton?,AUTOMATON,REPRESENTATION,STATE,DETAILS,AUTOMATON,REPRESENTATION
What would be a minimal graphical representation of the automaton?,AUTOMATON,REPRESENTATION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,REPRESENTATION
