Question,Global Subject,Question Intent
"Does the automaton accept strings over the alphabet {0,1}?","grammar","symbols"
"What language is recognized by this automaton?","grammar","accepted"
"Can you provide examples of strings accepted by the automaton?","grammar","example_input"
"Is the string '1010' accepted by the automaton?","grammar","simulation"
"What is the set of input symbols for the automaton?","grammar","symbols"
"Does the automaton accept all binary strings?","grammar","accepted"
"Can the automaton accept an empty string?","grammar","validity"
"What is the regular expression equivalent to this automaton?","grammar","regex"
"If the input is '0110', what will the automaton do?","grammar","simulation"
"Does the automaton accept strings ending with '0'?","grammar","accepted"
"Is '111' a valid input for the automaton?","grammar","validity"
"What kind of grammar does the automaton accept?","grammar","accepted"
"What is the purpose of this automaton in terms of language recognition?","grammar","accepted"
"Provide some accepted input examples for the automaton.","grammar","example_input"
"What strings are rejected by the automaton?","grammar","accepted"
"Does the automaton accept strings with an even number of '1's?","grammar","accepted"
"Is the automaton designed to accept palindromic strings?","grammar","accepted"
"What is the minimal grammar that the automaton recognizes?","grammar","accepted"
"Can you simulate the automaton on input '1001'?","grammar","simulation"
"Does changing the final state alter the accepted language?","grammar","variation"
"What is the language accepted if we remove state q2?","grammar","variation"
"Which input strings cause the automaton to halt in a non-accepting state?","grammar","simulation"
"What is the language accepted by the automaton?","grammar","accepted"
"Does the automaton accept the string '000'?","grammar","simulation"
"Is the automaton accepting strings that start with '1' and end with '0'?","grammar","accepted"
"What is the set of symbols used in the automaton's transitions?","grammar","symbols"
"Can you describe the language recognized by the automaton?","grammar","accepted"
"Does the automaton accept the language of all strings containing '101'?","grammar","accepted"
"Provide examples of strings not accepted by the automaton.","grammar","example_input"
"What happens when the automaton processes the string '0101'?","grammar","simulation"
"Is 'epsilon' (empty string) accepted by the automaton?","grammar","validity"
"Does the automaton accept any strings over the alphabet?","grammar","accepted"
"What is the regular language defined by the automaton?","grammar","regex"
"If the final state is changed to q3, what language does it accept?","grammar","variation"
"What is the accepted language if the automaton is reversed?","grammar","variation"
"Are there any strings that cause the automaton to loop indefinitely?","grammar","validity"
"Does the automaton accept the complement of the language of strings with an even number of '0's?","grammar","accepted"
"What is the grammar produced by the automaton?","grammar","accepted"
"Can you simulate the automaton on input '1100'?","grammar","simulation"
"What is the output of the automaton for input '1011'?","grammar","simulation"
"Is the automaton deterministic in its acceptance of inputs?","grammar","accepted"
"What is the set of accepted strings?","grammar","accepted"
"Does the automaton accept any string that ends with '1'?","grammar","accepted"
"What is the language accepted by changing q0 to a final state?","grammar","variation"
"Can you provide the regular expression corresponding to the automaton?","grammar","regex"
"Does the automaton accept strings of length less than 3?","grammar","accepted"
"Is '1010' part of the language recognized by the automaton?","grammar","validity"
"What are the input and output alphabets of the automaton?","grammar","symbols"
