"train/global_step","glamorous-yogurt-32 - _step","glamorous-yogurt-32 - _step__MIN","glamorous-yogurt-32 - _step__MAX","glamorous-yogurt-32 - eval/f1","glamorous-yogurt-32 - eval/f1__MIN","glamorous-yogurt-32 - eval/f1__MAX"
"43","1","1","1","0.29178534571723425","0.29178534571723425","0.29178534571723425"
"86","3","3","3","0.6235150785460384","0.6235150785460384","0.6235150785460384"
"129","5","5","5","0.8681649721014143","0.8681649721014143","0.8681649721014143"
"172","7","7","7","0.8587264239028946","0.8587264239028946","0.8587264239028946"
"215","9","9","9","0.8781512605042017","0.8781512605042017","0.8781512605042017"
"258","11","11","11","0.8918578189896651","0.8918578189896651","0.8918578189896651"
"301","13","13","13","0.9054566123531642","0.9054566123531642","0.9054566123531642"
"344","15","15","15","0.8609539873296989","0.8609539873296989","0.8609539873296989"
"387","17","17","17","0.9050566313481916","0.9050566313481916","0.9050566313481916"
"430","19","19","19","0.9054566123531642","0.9054566123531642","0.9054566123531642"
"473","21","21","21","0.8508952868469217","0.8508952868469217","0.8508952868469217"
"516","23","23","23","0.8915475035591448","0.8915475035591448","0.8915475035591448"
"559","25","25","25","0.892485269970057","0.892485269970057","0.892485269970057"
"602","27","27","27","0.9054566123531642","0.9054566123531642","0.9054566123531642"
"645","29","29","29","0.8918578189896651","0.8918578189896651","0.8918578189896651"
"688","31","31","31","0.9062107601661354","0.9062107601661354","0.9062107601661354"
"731","33","33","33","0.892485269970057","0.892485269970057","0.892485269970057"
"774","35","35","35","0.9062107601661354","0.9062107601661354","0.9062107601661354"
"817","37","37","37","0.9054566123531642","0.9054566123531642","0.9054566123531642"
"860","39","39","39","0.9054566123531642","0.9054566123531642","0.9054566123531642"
