"train/global_step","spring-dream-5 - _step","spring-dream-5 - _step__MIN","spring-dream-5 - _step__MAX","spring-dream-5 - eval/f1_sub","spring-dream-5 - eval/f1_sub__MIN","spring-dream-5 - eval/f1_sub__MAX"
"43","1","1","1","0.07193477390956382","0.07193477390956382","0.07193477390956382"
"86","3","3","3","0.23680604225495866","0.23680604225495866","0.23680604225495866"
"129","5","5","5","0.24834025564248688","0.24834025564248688","0.24834025564248688"
"172","7","7","7","0.2604133207101073","0.2604133207101073","0.2604133207101073"
"215","9","9","9","0.3417690840291459","0.3417690840291459","0.3417690840291459"
"258","11","11","11","0.37919848641210874","0.37919848641210874","0.37919848641210874"
"301","13","13","13","0.49508650519031144","0.49508650519031144","0.49508650519031144"
"344","15","15","15","0.4919337870894965","0.4919337870894965","0.4919337870894965"
"387","17","17","17","0.5417596475035922","0.5417596475035922","0.5417596475035922"
"430","19","19","19","0.5664595535183771","0.5664595535183771","0.5664595535183771"
"473","21","21","21","0.5765079365079364","0.5765079365079364","0.5765079365079364"
"516","23","23","23","0.5967466406852596","0.5967466406852596","0.5967466406852596"
"559","25","25","25","0.5823820623820624","0.5823820623820624","0.5823820623820624"
"602","27","27","27","0.633966033966034","0.633966033966034","0.633966033966034"
"645","29","29","29","0.5956151038503981","0.5956151038503981","0.5956151038503981"
"688","31","31","31","0.6170351217410042","0.6170351217410042","0.6170351217410042"
"731","33","33","33","0.6414608920491274","0.6414608920491274","0.6414608920491274"
"774","35","35","35","0.6412368024132731","0.6412368024132731","0.6412368024132731"
"817","37","37","37","0.639219995690584","0.639219995690584","0.639219995690584"
"860","40","39","41","0.6403404438698557","0.639219995690584","0.6414608920491274"
