"train/global_step","fine-planet-35 - _step","fine-planet-35 - _step__MIN","fine-planet-35 - _step__MAX","fine-planet-35 - eval/f1","fine-planet-35 - eval/f1__MIN","fine-planet-35 - eval/f1__MAX"
"7","1","1","1","0.2515592515592516","0.2515592515592516","0.2515592515592516"
"14","3","3","3","0.2515592515592516","0.2515592515592516","0.2515592515592516"
"21","5","5","5","0.2515592515592516","0.2515592515592516","0.2515592515592516"
"28","7","7","7","0.3200854700854701","0.3200854700854701","0.3200854700854701"
"35","9","9","9","0.48717948717948717","0.48717948717948717","0.48717948717948717"
"42","11","11","11","0.5888278388278387","0.5888278388278387","0.5888278388278387"
"49","13","13","13","0.6041420118343196","0.6041420118343196","0.6041420118343196"
"56","15","15","15","0.7570512820512819","0.7570512820512819","0.7570512820512819"
"63","17","17","17","0.7570512820512819","0.7570512820512819","0.7570512820512819"
"70","19","19","19","0.876098901098901","0.876098901098901","0.876098901098901"
"77","21","21","21","0.8882783882783882","0.8882783882783882","0.8882783882783882"
"84","23","23","23","0.876098901098901","0.876098901098901","0.876098901098901"
"91","25","25","25","0.8882783882783882","0.8882783882783882","0.8882783882783882"
"98","27","27","27","0.8882783882783882","0.8882783882783882","0.8882783882783882"
"105","29","29","29","0.8882783882783882","0.8882783882783882","0.8882783882783882"
"112","31","31","31","0.8882783882783882","0.8882783882783882","0.8882783882783882"
"119","33","33","33","0.8882783882783882","0.8882783882783882","0.8882783882783882"
"126","35","35","35","0.8882783882783882","0.8882783882783882","0.8882783882783882"
"133","37","37","37","0.8882783882783882","0.8882783882783882","0.8882783882783882"
"140","39","39","39","0.8882783882783882","0.8882783882783882","0.8882783882783882"
