"train/global_step","good-meadow-34 - _step","good-meadow-34 - _step__MIN","good-meadow-34 - _step__MAX","good-meadow-34 - eval/f1","good-meadow-34 - eval/f1__MIN","good-meadow-34 - eval/f1__MAX"
"11","1","1","1","0.06371329019412643","0.06371329019412643","0.06371329019412643"
"22","3","3","3","0.06371329019412643","0.06371329019412643","0.06371329019412643"
"33","5","5","5","0.2464892830746489","0.2464892830746489","0.2464892830746489"
"44","7","7","7","0.4191056910569105","0.4191056910569105","0.4191056910569105"
"55","9","9","9","0.4654471544715448","0.4654471544715448","0.4654471544715448"
"66","11","11","11","0.5382820784729586","0.5382820784729586","0.5382820784729586"
"77","13","13","13","0.5980223382132184","0.5980223382132184","0.5980223382132184"
"88","15","15","15","0.5925808608735438","0.5925808608735438","0.5925808608735438"
"99","17","17","17","0.5946451494590134","0.5946451494590134","0.5946451494590134"
"110","19","19","19","0.5671347622567134","0.5671347622567134","0.5671347622567134"
"121","21","21","21","0.692151782539157","0.692151782539157","0.692151782539157"
"132","23","23","23","0.7210643015521064","0.7210643015521064","0.7210643015521064"
"143","25","25","25","0.7253808840609415","0.7253808840609415","0.7253808840609415"
"154","27","27","27","0.8130303586016038","0.8130303586016038","0.8130303586016038"
"165","29","29","29","0.7516602638553859","0.7516602638553859","0.7516602638553859"
"176","31","31","31","0.7935614520980375","0.7935614520980375","0.7935614520980375"
"187","33","33","33","0.7935614520980375","0.7935614520980375","0.7935614520980375"
"198","35","35","35","0.7935614520980375","0.7935614520980375","0.7935614520980375"
"209","37","37","37","0.7935614520980375","0.7935614520980375","0.7935614520980375"
"220","39","39","39","0.7935614520980375","0.7935614520980375","0.7935614520980375"
